Observation Year,Standard Week,Pest Value,MaxT,MinT,RH1(%),RH2(%),RF(mm),WS(kmph),SSH(hrs),EVP(mm),PEST NAME,Location
1999,52,0,28.1,12.3,87.6,37.9,0,1.7,9.4,3,Greenleafhopper,Rajendranagar
2010,17,200,40.3,26.5,67.9,39,0,4.9,9.4,8.9,Miridbug,Rajendranagar
1999,1,0,22.2,10.4,90.6,49.6,14.6,4.5,6.1,2.7,Yellowstemborer,Cuttack
1989,13,0,31.5,19.2,76.7,36,5,5.3,8.6,5.8,Yellowstemborer,Rajendranagar
1993,45,0,29.9,17.6,72.3,46,0,4.3,9.4,3.7,Yellowstemborer,Rajendranagar
2009,24,0,38.1,28.1,92.3,67.4,0,1.6,6.9,4.8,LeafFolder,Maruteru
2010,29,58,29.7,24.6,87.4,61.1,55.6,2.7,1.6,3.9,Yellowstemborer,Maruteru
1986,51,0,12.2,3.6,50.9,51.6,2.8,5.4,4.2,1.8,LeafBlast,Palampur
2011,25,120,35.3,27.3,70.6,39,1,0,5.5,0,Brownplanthopper,Maruteru
1995,24,0,38,26.9,81,63,0,1.6,5.1,33.7,Greenleafhopper,Maruteru
1997,30,0,31.9,24.3,92,78,22.6,6.7,7.3,28.6,LeafFolder,Maruteru
2009,29,0,31.9,23.1,82.1,56.6,17.8,17.8,4,6.9,Brownplanthopper,Rajendranagar
2001,6,0,22,4.2,94,37.1,0,3.2,10.2,2.5,LeafFolder,Ludhiana
2001,31,28.2,27,19.5,81.9,76,41.4,2.8,4.1,2.2,LeafBlast,Palampur
2002,31,0,31.8,23.2,84.7,70.3,10.8,2.6,4.4,3.7,LeafBlast,Rajendranagar
2001,25,0,33.4,23.4,74.7,47.6,8.2,9.5,8,7.2,Miridbug,Rajendranagar
2003,3,0,19,5.6,37.7,32,0,5.5,7.3,2.4,LeafBlast,Palampur
2007,47,0,25.9,8.8,94.3,33.6,0,1.5,4.3,1.9,Caseworm,Ludhiana
2005,26,632,30.1,24.4,91.1,66.9,114.2,8.8,1.3,3.7,Yellowstemborer,Maruteru
1984,34,53.8,31.5,22.6,76.3,52,0,12.8,8.2,7.7,LeafBlast,Rajendranagar
2008,30,692,28.4,23.6,91.1,79.7,99.2,1.7,2,4.1,Brownplanthopper,Maruteru
1986,8,0,31,17.8,80,37.9,0,5,11.1,4.8,LeafBlast,Rajendranagar
2010,37,7,30.6,24,95,74,28,3.9,6.2,3,Yellowstemborer,Ludhiana
2003,6,3,27.4,19.8,85.4,69.6,0,4.2,5.2,3.3,Brownplanthopper,Maruteru
1995,46,9,31.9,23.7,94.4,37.4,78.3,5.2,4,3,Gallmidge,Raipur
1991,15,0,19.9,10.6,63,46.1,47.2,8.9,3.6,2.6,LeafBlast,Palampur
1992,31,5,30.5,22.3,76.3,46.6,32.9,7.7,5.4,4.1,LeafBlast,Rajendranagar
2001,19,14,41.8,27.5,51.4,16.6,0,4.2,9.9,10.9,LeafFolder,Rajendranagar
2009,26,110,36.4,27.3,85.6,73.6,0,2,2.9,5.5,ZigZagleafhopper,Maruteru
2000,25,3761,31.9,23.8,88,74.7,0,10.2,2.8,4.2,Brownplanthopper,Maruteru
