Observation Year,Standard Week,Pest Value,MaxT,MinT,RH1(%),RH2(%),RF(mm),WS(kmph),SSH(hrs),EVP(mm),PEST NAME,Location
1990,3,0,19.6,9.4,43,39.6,0,4.9,4.8,12.7,LeafBlast,Palampur
1991,23,0,30.5,21.3,69.7,53.4,34,5.8,7.9,6.1,LeafBlast,Palampur
2002,9,0,33.6,16.7,73.6,26,0,4.1,8.9,6.3,Gallmidge,Raipur
1999,44,1145,30.1,20.5,90,60.1,0,4.1,7.3,3.8,Greenleafhopper,Raipur
2001,2,19,30.6,14.4,81.9,28.6,0,2.8,8.7,4.2,Miridbug,Rajendranagar
2005,14,80,33.4,23.1,91,60.4,0,2.8,8.9,4,ZigZagleafhopper,Maruteru
2001,20,0,36.3,26.9,88,55,24,9.1,9.1,8.2,Gallmidge,Cuttack
1996,23,0,36.5,27.7,84.7,59,0.6,6.7,7.1,5.9,Yellowstemborer,Cuttack
1994,12,0,31.3,21.9,91,65,8.8,2.1,7.7,25.7,Brownplanthopper,Maruteru
1996,6,0,18.1,7.8,53.7,49.1,3.8,5.1,4.9,2.2,LeafBlast,Palampur
2004,29,1539,31.4,25.6,93.4,82.7,7.4,7.6,5.3,4,Gallmidge,Maruteru
1994,41,0,30.8,23.9,90,72,38.2,1.6,5.6,18.8,Yellowstemborer,Maruteru
1984,12,0,36.6,19.3,66.6,21.3,0,3.9,10.3,7,LeafBlast,Rajendranagar
1998,31,0,30.3,23.4,92.9,87.7,0,9.2,3.3,3.6,LeafFolder,Maruteru
2000,34,641,28,23,91.4,76.6,164.9,5.9,2,3.4,Greenleafhopper,Rajendranagar
2011,21,469,35.7,26.3,84.6,51.4,8.8,0,8.7,0,Brownplanthopper,Maruteru
2000,21,1671,37.4,25.9,80.4,59.6,0,6.4,4.4,7.4,Yellowstemborer,Maruteru
2001,7,0,28.6,17.2,95.1,51,33,2.5,9.4,3.5,Gallmidge,Cuttack
2002,34,4,29.3,24.3,89,75.3,1,8.5,5.7,3.9,Yellowstemborer,Maruteru
1959,50,0,27,12.4,81.9,46,0,2.5,9.3,3.6,Gallmidge,Cuttack
1998,28,0,30.6,24.8,89.9,78.3,91.8,7.5,2.8,3.6,Gallmidge,Raipur
1995,49,0,29.2,14.6,86.6,41.3,0,1.6,8.2,2.8,Greenleafhopper,Rajendranagar
2011,12,251,30.8,22,87.4,40.4,0,0,8.1,0,Yellowstemborer,Maruteru
1991,26,0,32.8,22.8,39.7,34.3,0,6.6,10.9,8.1,LeafBlast,Palampur
1988,5,0,31.4,14.7,77.4,37.9,0,3.1,11,4.8,LeafBlast,Rajendranagar
2009,49,0,23.5,8,94.4,40.7,0,1.3,5.1,1.3,Greenleafhopper,Ludhiana
1999,40,260,31.1,22.9,89.6,60.6,14.6,3,8.6,3.7,Gallmidge,Rajendranagar
1999,29,0,30.2,23.2,87.6,67.7,60.8,7,4.6,4,NeckBlast,Rajendranagar
1996,36,700,28.7,21.9,94.9,76.4,54.2,1.2,2.5,2.9,Brownplanthopper,Rajendranagar
1999,48,0,27.9,16.3,85.9,43.3,0,1.3,8.2,3.1,Yellowstemborer,Cuttack
1997,5,17,27.1,18.4,89.4,68,0,1.8,8.6,20,Whitebackedplanthopper,Maruteru
1997,35,145,31.7,23.7,93.9,76,93.6,4.2,5.8,23.2,Yellowstemborer,Maruteru
2003,15,1570,32.9,23.2,88,54.6,0,3.7,8.5,4.7,Brownplanthopper,Maruteru
2001,51,7,27.1,9.8,89.9,24.1,0,2.4,7,3.3,Yellowstemborer,Raipur
1976,9,6,33.5,14.7,65.9,18.8,0,2.4,12,6.5,Yellowstemborer,Rajendranagar
1984,6,0,29.3,17.9,87,49.9,0,6.7,7.1,4.3,LeafBlast,Rajendranagar
2010,39,950,31.2,21.9,87.6,67.6,87.2,4.2,6.4,6.3,Greenleafhopper,Rajendranagar
1995,17,0,35,18.1,61.4,27.1,5.2,6.1,9.6,5.7,Yellowstemborer,Ludhiana
2011,1,0,27.1,16.9,85.4,62.4,0,0,6,0,Whitebackedplanthopper,Maruteru
2007,48,8,28.4,11.1,91.1,27.9,0,1.8,8.3,2.7,Yellowstemborer,Raipur
1999,39,0,34.4,24.3,88.6,55.9,0,4.3,8.2,4,Yellowstemborer,Ludhiana
2011,14,97,31.3,24.3,87.4,37.9,0,0,7.6,0,Whitebackedplanthopper,Maruteru
2010,37,47,30.2,22.5,90.3,67.4,65.4,6,6.2,4.9,Brownplanthopper,Rajendranagar
2006,28,0,32.9,27.4,87.6,59.3,2.6,2.3,5.4,4.2,Miridbug,Maruteru
1999,34,14,30.3,23.4,87,63.6,15.3,3.3,5,4.1,LeafBlast,Rajendranagar
2003,28,0,30.7,24.9,96.3,82.3,115.2,5.2,0.9,1.7,Brownplanthopper,Cuttack
2010,22,0,41.1,27.9,70.6,45.1,0,8.5,8.7,8.6,Greenleafhopper,Rajendranagar
2006,40,1760,30.5,25.3,87.6,62.4,5,1.8,8.7,2.9,Whitebackedplanthopper,Maruteru
2011,41,1608,32,21.1,91,64.4,28.5,0,0,0,Greenleafhopper,Rajendranagar
2002,4,774,29.9,20.4,96,67.3,0,2.1,4.1,2.3,Brownplanthopper,Maruteru
2004,43,8296,29,22.4,87.4,72.3,8,4.2,9.6,2.9,Brownplanthopper,Maruteru
2008,33,0,29.6,23.1,88.9,70.1,23.2,7.4,5,6.1,Greenleafhopper,Rajendranagar
1998,21,612,40.3,25.7,84.6,65.4,0,6.9,7.5,37,Yellowstemborer,Maruteru
1990,37,59,30.6,22.5,80.4,34.1,12.4,4.9,7.2,4.1,Yellowstemborer,Rajendranagar
2001,45,33.35,30.4,23,92.4,68.3,4.4,2.8,6.2,3.1,Gallmidge,Cuttack
1996,9,1738,30.8,19.2,89.2,68,0,1.9,9.2,18.4,Brownplanthopper,Maruteru
2011,21,314,35.7,26.3,84.6,51.4,8.8,0,8.7,0,Greenleafhopper,Maruteru
2009,39,206,30.8,25.4,88.3,68.6,39.9,2,1.7,3.3,LeafFolder,Maruteru
2003,42,145,28.4,23.9,90.9,80.4,22.2,3.6,2.3,2.1,Whitebackedplanthopper,Maruteru
1996,17,865,38.9,24.8,67,25.7,0,3,10.2,7,Greenleafhopper,Rajendranagar
2008,5,0,16.7,2.9,95.7,46.9,2.4,3.8,6.4,1.5,Yellowstemborer,Ludhiana
2002,30,0,32.7,25.1,84.4,65.4,29,10.4,6.9,5.3,LeafFolder,Maruteru
1979,40,595,31.1,21.5,88,57.6,20.2,6.5,6.7,4.5,Yellowstemborer,Rajendranagar
1996,37,1400,30.9,21.8,94.1,71.3,151.8,3.1,7.1,4.5,Gallmidge,Rajendranagar
2010,4,0,19.5,6.5,99.6,62.1,0,2.2,4.2,1,Greenleafhopper,Ludhiana
2001,4,0,18.9,3.6,96.7,45.6,0,3.6,8,3.1,LeafFolder,Ludhiana
1995,16,0,34.6,21.5,86.5,56,0,5.1,9.4,34.1,Gallmidge,Maruteru
2008,37,870,27.4,24,82.4,86,84.4,2.6,2.5,3.5,Greenleafhopper,Maruteru
2000,47,0,31,14.4,80.4,34.9,0,1.6,9.1,3.5,Brownplanthopper,Rajendranagar
2003,39,109,29.4,24.7,92.6,80.6,22.4,2.6,4.5,2.5,LeafFolder,Maruteru
2002,23,2320,35.1,24.7,87.3,67,32.4,5,5.1,4.8,Yellowstemborer,Maruteru
1997,15,0,23.2,12.6,65.6,53.3,22.6,6.1,6.4,3.2,LeafBlast,Palampur
1996,21,0,41,26,53.9,23.1,1.6,4.9,8.7,9.1,Gallmidge,Rajendranagar
2001,40,354,33.5,21,88.1,46.4,0.8,2.5,7.5,3.7,Brownplanthopper,Ludhiana
2011,38,0,30.5,22.4,82.6,69.4,11,0,0,0,Gallmidge,Rajendranagar
1995,15,7,31.5,15.1,79.9,23,0,4,8.2,3.9,Yellowstemborer,Raipur
1995,14,30,33.1,20.1,87.2,58,0,5.6,8.5,30.7,Gallmidge,Maruteru
2004,20,0,33.3,27.4,90.1,79.1,0,8.2,2.3,4.6,Whitebackedplanthopper,Maruteru
2011,14,35,31.3,24.3,87.4,37.9,0,0,7.6,0,ZigZagleafhopper,Maruteru
2000,12,0,36.3,19.9,72.6,37.9,0,2.7,10.1,7.1,Brownplanthopper,Rajendranagar
1980,20,0,40,26.2,58.3,30,8.5,8.3,9.9,10.7,Yellowstemborer,Rajendranagar
1998,31,31,28.7,22.3,92.3,75.6,66.1,5.2,3.8,3.3,Yellowstemborer,Rajendranagar
2007,7,943,26.6,21.9,90.7,61.1,13,5.1,7.3,3,ZigZagleafhopper,Maruteru
2008,32,9,32.6,26.2,90.7,76.4,108.8,4.8,5.3,3.2,LeafFolder,Ludhiana
1998,45,524,29.5,22,92.9,83.3,0,4.1,5,19.7,Yellowstemborer,Maruteru
2001,7,0,34.2,14.1,77,22.6,0,2.8,10.1,5.4,Gallmidge,Rajendranagar
2009,25,0,40.8,24.6,49.9,22.4,0,6.9,12.9,13,Greenleafhopper,Ludhiana
1995,34,201,30.1,23.8,92.3,78,68,2.1,2.8,23,Miridbug,Maruteru
1984,7,0,23.4,9.8,53.9,44.7,0,5.6,7.6,2.3,LeafBlast,Palampur
1995,11,1400,34,20.7,79.6,37.4,25.4,4.8,9.9,4.8,Brownplanthopper,Rajendranagar
2009,28,0,29.4,24.8,83.4,79.6,230,11.1,0.5,2.9,Whitebackedplanthopper,Raipur
2007,21,27,38.7,27.2,69.7,32,7.6,9.2,9.7,9.1,Yellowstemborer,Rajendranagar
2000,37,83,31.7,23.6,89.7,69.6,19,5,5.8,4,Gallmidge,Raipur
2007,47,413,28,11.6,89.4,28.9,0,2.1,8.5,3.3,Greenleafhopper,Raipur
1991,18,30,40.9,25.6,49.6,14.3,0,5.8,11.2,7.2,Yellowstemborer,Rajendranagar
1997,52,5,30.1,20.5,85.2,58,4.6,2.1,5.7,30.7,Miridbug,Maruteru
2009,31,0,32.9,26.6,81,57.3,2,9.2,6.4,5.5,LeafFolder,Raipur
2011,11,0,29.3,14,94.1,55.7,0,0,8.4,0,Brownplanthopper,Ludhiana
2002,3,0,31,13.3,85.1,30.9,0,1.5,9.7,3.7,Gallmidge,Rajendranagar
2007,15,0,39,23.7,55.9,22,3.2,6.9,8.4,9.5,Brownplanthopper,Raipur
1994,3,99,29.1,17.3,76.4,40.1,5.4,5.3,7.2,2.9,Greenleafhopper,Rajendranagar
2007,14,47,35.1,24.6,83.9,51.4,1.5,11.6,8.5,6.2,Yellowstemborer,Cuttack
1963,52,0,26.4,12.2,94.9,37,0,2.5,7.8,3.8,Gallmidge,Cuttack
1965,41,16,33.1,23.6,92.4,66.1,38.8,2.2,8.6,2.4,Gallmidge,Cuttack
2009,27,70,31.9,25.7,87.3,75.7,66.3,1.7,0.4,5.1,Gallmidge,Maruteru
2007,33,0,29.4,24.8,90.6,72.9,4.6,10.5,1.6,3.2,Brownplanthopper,Raipur
2007,14,265,32.7,15.7,82.6,25.6,0,5.3,11.2,5.8,Yellowstemborer,Ludhiana
2008,17,0,39.5,19.5,48,16.9,0,4.1,11.5,9.8,Greenleafhopper,Ludhiana
2000,22,0,31.8,18.7,52.6,47.1,15.8,5.3,10,6.3,LeafBlast,Palampur
1998,27,17,29,24.2,91.3,85.6,77,11.7,0.2,2.3,Yellowstemborer,Raipur
1998,39,954,31,23.7,90.6,88.6,0,2.9,5.7,20,Yellowstemborer,Maruteru
1988,32,71,30.3,22.9,87.4,60.1,31.9,9.1,3.2,4.1,Yellowstemborer,Rajendranagar
1996,8,2,31.1,16.5,82.1,30.7,0,6.6,9.7,6.4,Yellowstemborer,Cuttack
1986,42,0,22.3,11.8,49.9,39.1,12,6.5,7.7,2.9,LeafBlast,Palampur
2000,1,0,26.9,7.6,88.1,34,0,1.9,8.7,2.8,Gallmidge,Raipur
2002,38,0,33.5,26.5,91.1,77.3,1,2.8,6.8,3.9,Gallmidge,Cuttack
2004,47,3596,29.6,16.9,94.5,53.7,0,2.3,9.3,3.2,Greenleafhopper,Maruteru
1966,5,0,28.2,15,96.9,39.4,0,2.8,8.3,3.7,Gallmidge,Cuttack
1998,45,0,29.7,20.1,91.7,66.9,47.2,1.9,5.6,2.8,Greenleafhopper,Raipur
2001,27,4,32.2,24.9,90.6,73.4,80.5,7,3.2,4.2,Yellowstemborer,Raipur
1979,28,0,31,23.2,80.4,53.9,0,18.3,4.9,7.1,Yellowstemborer,Rajendranagar
1995,43,3803,30.6,20.7,89.9,74,5,2,6.9,20,Whitebackedplanthopper,Maruteru
2008,47,33,30.3,19,90.7,53.7,0,3.2,7,5.5,LeafFolder,Rajendranagar
1999,44,0,31,18.1,76.4,38.7,0,2.2,9.1,4.3,Yellowstemborer,Rajendranagar
2001,1,0,27.6,14.2,83,45,1,2.2,5.2,2.9,Gallmidge,Rajendranagar
1998,30,0,31.2,23.9,91.6,83.9,0,10.5,3.5,4.6,LeafFolder,Maruteru
2007,1,0,26.7,9.6,87.9,29.9,0,2.6,8.5,3.1,Yellowstemborer,Raipur
2009,49,0,23.5,8,94.4,40.7,0,1.3,5.1,1.3,Yellowstemborer,Ludhiana
2008,19,2446,39.4,27.3,89.6,36.1,0,3,8.2,4.8,Yellowstemborer,Maruteru
1996,22,0,40,27,61,30,1.6,6.6,7.7,9.9,Yellowstemborer,Rajendranagar
1998,50,0,19.6,6.5,99.1,68.6,0,1.8,2.7,0.7,Yellowstemborer,Ludhiana
2006,18,1426,35,23.7,83.7,53,13.8,4.2,9.3,4.7,ZigZagleafhopper,Maruteru
2010,10,0,26.2,10.9,95.9,45,0,3.9,9.7,3.9,Whitebackedplanthopper,Ludhiana
2007,30,116,30.5,26.7,90.4,78.4,12.1,1.7,4.7,4.1,Whitebackedplanthopper,Maruteru
1999,8,0,33.2,14.6,79,23.1,0,2.9,10.5,5.6,LeafBlast,Rajendranagar
2007,44,7400,29.1,20.1,92.1,60.9,21.8,3.3,4.4,4.8,Miridbug,Rajendranagar
2001,6,0,29.7,15.8,96,50.6,0,2.6,9.2,3.8,Gallmidge,Cuttack
2005,3,10,29.2,18.7,93.4,48.7,0,2.4,7.7,2.4,Caseworm,Maruteru
2005,46,98,30.1,17.1,90.4,58.3,0,1.4,9.9,2.9,Caseworm,Maruteru
2007,2,5,27.6,12.9,87.7,36.6,0,3.8,9.3,3.8,Gallmidge,Rajendranagar
1959,14,0,35,24,87.3,46,29,7.7,7,5.8,Gallmidge,Cuttack
1999,27,0,31.8,24.5,93.3,78.1,72.6,3.4,1.9,3,Yellowstemborer,Cuttack
1990,27,0,26.3,20.3,83,75.9,228.4,4.2,2.5,3.1,LeafBlast,Palampur
2010,18,0,39,25.3,63.3,44.7,0,7.9,3.6,9.2,Brownplanthopper,Ludhiana
2008,43,20,28.5,22,90.3,82.7,27,1.6,4.2,2.9,ZigZagleafhopper,Maruteru
1996,28,0,33.9,24.7,90.9,72,29.4,5.9,5.9,29.5,LeafFolder,Maruteru
1987,16,0,28.1,16.9,37.7,28.4,0,6.7,10.4,5.8,LeafBlast,Palampur
2009,40,40,28.6,22.8,93,79.1,45,7.5,1.9,6.5,Yellowstemborer,Rajendranagar
1998,1,47,28.2,30.2,94.9,81.9,0,3.7,4.8,20,Yellowstemborer,Maruteru
2010,46,4476,29.1,23.1,87.6,61.7,70,1.4,5.2,2.9,Brownplanthopper,Maruteru
1964,13,0,37.7,24.5,87.1,35.4,0,7.4,8.4,7.6,Gallmidge,Cuttack
2007,49,0,26.8,11.2,90.3,34.1,0,2.4,7.3,2.6,Brownplanthopper,Raipur
2007,38,0,33.9,25.1,92.7,62.9,23.1,4,6,3.7,Caseworm,Ludhiana
2000,51,0,20,8.5,46.9,35.7,1.3,4,7.2,2.1,LeafBlast,Palampur
2006,11,5245,30.4,22,87.3,65.1,3.2,5.9,7.7,3.4,Greenleafhopper,Maruteru
1994,30,0,30.6,22.5,87,59,30,11.4,3.6,4.8,Yellowstemborer,Rajendranagar
